Date,Close (BTC),Volume (BTC),Close (ETH),Volume (ETH),Close (USDT),Volume (USDT),Close (BNB),Volume (BNB),Year,Month,Day,DayOfWeek,BTC_ETH_Ratio,BTC_Volume_Price_Ratio,ETH_Volume_Price_Ratio
2018-01-31 00:00:00+00:00,10221.099609375,8041160192,1118.31005859375,3757560064,0.9902740120887756,2663930112,11.145000457763672,50435000,2018,1,31,2,9.139772579912055,786721.6345905175,3360034.218707688
2018-02-01 00:00:00+00:00,9170.5400390625,9959400448,1036.7900390625,5261680128,0.986939013004303,3498899968,9.515839576721191,82984200,2018,2,1,3,8.845127454498702,1086021.1509439247,5074971.720173726
2018-02-02 00:00:00+00:00,8830.75,12726899712,915.7849731445312,6713290240,0.9907469749450684,4785869824,9.65229034423828,91468200,2018,2,2,4,9.642820377012574,1441202.5832460437,7330640.3106272565
2018-02-03 00:00:00+00:00,9174.91015625,7263790080,964.0189819335938,3243480064,1.0013099908828735,2488529920,9.749679565429688,56556200,2018,2,3,5,9.517354251518267,791701.494215926,3364539.625033469
2018-02-04 00:00:00+00:00,8277.009765625,7073549824,834.6820068359375,2997090048,1.0101300477981567,2504640000,8.458640098571777,49990000,2018,2,4,6,9.916362995532864,854602.0875047105,3590696.8443721333
2018-02-05 00:00:00+00:00,6955.27001953125,9285289984,697.9509887695312,4269530112,0.9963080286979676,4078980096,6.7050299644470215,55276900,2018,2,5,0,9.965269956552685,1335000.6481309524,6117234.849866846
2018-02-06 00:00:00+00:00,7754.0,13999800320,793.1220092773438,6518269952,1.0100899934768677,6247249920,8.288849830627441,97189904,2018,2,6,1,9.77655380798862,1805493.9798813516,8218495.862873794
2018-02-07 00:00:00+00:00,7621.2998046875,9169280000,757.0679931640625,3896179968,1.0013999938964844,3307539968,8.095009803771973,77970304,2018,2,7,2,10.066863047314042,1203112.3607498568,5146406.9319803715
2018-02-08 00:00:00+00:00,8265.58984375,9346750464,817.8070068359375,3708189952,1.0189100503921509,2466619904,8.595499992370605,82496000,2018,2,8,3,10.107017639441896,1130802.597356983,4534309.343162561
2018-02-09 00:00:00+00:00,8736.98046875,6784820224,883.864990234375,2495820032,1.0021100044250488,1631139968,9.730460166931152,9284,2018,2,9,4,9.884971760713375,776563.5105020104,2823757.0891207964
2018-02-10 00:00:00+00:00,8621.900390625,7780960256,860.4149780273438,2930530048,1.0037000179290771,2628379904,9.255970001220703,80123200,2018,2,10,5,10.020630289807668,902464.6427672263,3405949.5973893525
2018-02-11 00:00:00+00:00,8129.97021484375,6122189824,814.6599731445312,2486650112,0.9992510080337524,2431739904,8.704910278320312,68554600,2018,2,11,6,9.979587168696439,753039.6375649775,3052377.917134804
2018-02-12 00:00:00+00:00,8926.5703125,6256439808,868.7069702148438,2243450112,1.0000900030136108,2457489920,9.322469711303713,50792600,2018,2,12,0,10.275697811302619,700878.3428545923,2582516.5319499653
2018-02-13 00:00:00+00:00,8598.3095703125,5696719872,845.2579956054688,2081170048,1.001099944114685,2226759936,8.986780166625977,41593400,2018,2,13,1,10.17240844217442,662539.5172638517,2462171.382962467
2018-02-14 00:00:00+00:00,9494.6298828125,7909819904,923.5609741210938,2818370048,1.0007699728012085,3066190080,10.40060043334961,68781600,2018,2,14,2,10.280458084370725,833083.5431846188,3051633.976502851
2018-02-15 00:00:00+00:00,10166.400390625,9062540288,936.9760131835938,2900100096,1.0054099559783936,3286909952,10.931099891662598,108962000,2018,2,15,3,10.850224816409431,891420.7526547026,3095170.052588898
2018-02-16 00:00:00+00:00,10233.900390625,7296159744,944.2100219726562,2369449984,1.0020999908447266,2605819904,11.201600074768066,71131800,2018,2,16,4,10.838584798373775,712940.2735523804,2509452.2710632887
2018-02-17 00:00:00+00:00,11112.7001953125,8660880384,974.114990234375,2525720064,1.0037000179290771,2797600000,11.68929958343506,76093504,2018,2,17,5,11.407996290703576,779367.7712688844,2592835.6398583953
2018-02-18 00:00:00+00:00,10551.7998046875,8744009728,923.9210205078124,2567290112,1.0051900148391724,3124179968,10.702400207519531,62044700,2018,2,18,6,11.420672947659467,828674.7180434173,2778690.012474169
2018-02-19 00:00:00+00:00,11225.2998046875,7652089856,943.864990234375,2169019904,1.0006099939346311,2546439936,11.07569980621338,54898800,2018,2,19,0,11.892908329929792,681682.4484994703,2298019.236269587
2018-02-20 00:00:00+00:00,11403.7001953125,9926540288,895.3709716796875,2545260032,1.0006099939346311,3126220032,9.90450954437256,66512400,2018,2,20,1,12.736285356581888,870466.6132910362,2842687.68198412
2018-02-21 00:00:00+00:00,10690.400390625,9405339648,849.9710083007812,2531729920,1.0009700059890747,3459830016,9.380789756774902,55087600,2018,2,21,2,12.577370623495387,879793.0203108258,2978607.382222725
2018-02-22 00:00:00+00:00,10005.0,8040079872,812.844970703125,2150370048,1.0040899515151978,2904620032,8.904029846191406,47216100,2018,2,22,3,12.308620168179797,803606.184107946,2645486.0711506805
2018-02-23 00:00:00+00:00,10301.099609375,7739500032,864.1890258789062,2334820096,1.0015699863433838,2815280128,9.692110061645508,53626800,2018,2,23,4,11.919961143800075,751327.559725401,2701746.985996979
2018-02-24 00:00:00+00:00,9813.0703125,6917929984,840.5150146484375,1926579968,1.0028400421142578,2417710080,9.1419095993042,48709200,2018,2,24,5,11.675068430044067,704970.999258801,2292142.2394885253
2018-02-25 00:00:00+00:00,9664.73046875,5706939904,844.8099975585938,1646960000,1.0003399848937988,1968850048,9.346599578857422,43814500,2018,2,25,6,11.440123219043322,590491.3667745681,1949503.444276855
2018-02-26 00:00:00+00:00,10366.7001953125,7287690240,869.3150024414062,2044480000,0.9995610117912292,2362210048,9.90231990814209,53540300,2018,2,26,0,11.925136649198963,702990.353988945,2351828.732114631
2018-02-27 00:00:00+00:00,10725.599609375,6966179840,878.2650146484375,2053980032,1.0005199909210205,2473019904,10.659899711608888,97184400,2018,2,27,1,12.212258749334758,649490.9463067242,2338679.097700586
2018-02-28 00:00:00+00:00,10397.900390625,6936189952,855.198974609375,1963980032,0.9989029765129088,2414230016,10.438199996948242,69036400,2018,2,28,2,12.158457504435617,667076.0145244166,2296518.225945111
2018-03-01 00:00:00+00:00,10951.0,7317279744,872.2000122070312,1868519936,1.0004199743270874,2285570048,10.509699821472168,72474200,2018,3,1,3,12.555606336543592,668183.7041366085,2142306.7070038924
2018-03-02 00:00:00+00:00,11086.400390625,7620590080,856.85302734375,1894419968,0.9997299909591676,2172250112,10.22480010986328,46449100,2018,3,2,4,12.938508748685773,687381.820202363,2210904.2129111853
2018-03-03 00:00:00+00:00,11489.7001953125,6690570240,857.2249755859375,1699369984,1.0008699893951416,2181489920,10.217900276184082,40001900,2018,3,3,5,13.403366120380435,582310.2540769149,1982408.3903276764
2018-03-04 00:00:00+00:00,11512.599609375,6084149760,866.677978515625,1697939968,0.9976119995117188,2133910016,10.348099708557127,37886900,2018,3,4,6,13.283595400788695,528477.4913083508,1959135.9306349198
